Quelle technologie sans fil a des besoins en termes de consommation d’énergie et de débit des données qui la rendent populaire dans les applications domotiques ?;1;4;1;Wi-Fi;LoRaWAN;5 G;ZigBee;4;;;;;;;;;;;;;;
Un administrateur réseau conçoit la structure d’un nouveau réseau sans fil. Quels points problématiques doivent être pris en compte lors de la conception d’un réseau sans fil ? (Choisissez trois réponses.);1;6;3;Câblage étendu;Collision de paquet;Options de mobilité;Zone de couverture;Perturbation;Sécurité;4;5;6;;;;;;;;;;
Un administrateur réseau souhaite avoir le même masque de sous-réseau pour tous les réseaux d’un petit site. Le site a les réseaux et numéros de périphérique suivants : Téléphones IP – 22 adresses PC – 20 adresses nécessaires Imprimantes – 2 adresses nécessaires Scanners – 2 adresses nécessaires L’administrateur réseau juge que 192.168.10.0/24 doit être le réseau utilisé sur ce site. Quel masque de sous-réseau permettrait d’utiliser de manière optimale les adresses disponibles pour les quatre sous-réseaux ?;1;6;1;255.255.255.224;255.255.255.252;255.255.255.248;255.255.255.192;255.255.255.0;255.255.255.240;1;;;;;;;;;;;;
Quelles sont les fonctions d’exécution sur la sous-couche MAC de la couche de liaison de données OSI pour faciliter la communication Ethernet? (Choisissez sept réponses.);1;12;7;applique la délimitation des champs de trames Ethernet pour synchroniser la communication entre les nœuds;ajoute des informations de contrôle Ethernet aux données du protocole réseau;Met en œuvre la queue de bande avec la séquence de vérification de trame pour la détection des erreurs;Place les informations dans la trame qui indique le protocole de couche réseau encapsulé pour la trame.;gère la communication entre le logiciel de mise en réseau de la couche supérieure et le matériel de carte réseau Ethernet;met en œuvre CSMA/CD sur un support semi-duplex partagé hérité;intègre des flux de couche 2 entre 10 Gigabit Ethernet sur fibre et 1 Gigabit Ethernet sur cuivre;permet à IPv4 et IPv6 d’utiliser le même support physique;place les informations dans l’Ethernettrame qui identifie quel protocole de couche réseau est encapsulé par la trame;responsable de la structure interne de la trame Ethernet;implémente une bande-annonce avec séquence de contrôle de trame pour la détection d’erreurs;applique les adresses MAC source et destination à la trame Ethernet;1;3;6;7;10;11;12
Les utilisateurs se plaignent de délais allongés lors de l’authentification et de l’accès aux ressources réseau à certains moments de la semaine. Quel type d’information les ingénieurs réseau doivent-ils vérifier pour savoir si cette situation s’inscrit dans un comportement normal du réseau ?;1;4;1;Les enregistrements et messages syslog;Le résultat de la commande debug et les captures de paquets;Les performances de référence du réseau;Les fichiers de configuration réseau;3;;;;;;;;;;;;;;
Un groupe de PC Windows se trouvant sur un nouveau sous-réseau a été ajouté à un réseau Ethernet. Lors de tests de connectivité, un technicien découvre que ces ordinateurs peuvent accéder aux ressources du réseau local, mais pas à celles d’Internet. Pour résoudre le problème, le technicien souhaite d’abord vérifier les configurations des adresses IP et du DNS sur les ordinateurs, et la connectivité au routeur local. Quels sont les trois utilitaires et commandes d’interface de ligne de commande Windows qui fourniront les informations nécessaires ? (Choisissez trois réponses.);1;7;3;telnet;ipconfig;tracert;netsh interface ipv6 show neighbor;ping;arp -a;nslookup;2;5;7;;;;;;;;;
Quel type de serveur s’appuie sur des types d’enregistrements tels que A, NS, AAAA et MX pour fournir des services?;1;4;1;DNS;Web;fichier;les e-mails;1;;;;;;;;;;;;;;
Un technicien réussit à envoyer une requête ping pour l’adresse IP du serveur d’une entreprise distante, mais pas pour l’adresse URL de ce même serveur web. Quelle commande doit-il exécuter pour diagnostiquer ce problème ?;1;4;1;tracert;nslookup;ipconfig;netstat;2;;;;;;;;;;;;;;
Quelles propositions relatives aux adresses IP et MAC dans le cadre de la transmission des données si NAT n’est pas impliquée sont exactes ? (Choisissez deux réponses.);1;5;2;Chaque fois qu’une trame est encapsulée avec une nouvelle adresse MAC de destination, une nouvelle adresse IP de destination est nécessaire.;Les adresses MAC de destination ne changent jamais dans une trame qui traverse sept routeurs.;Un paquet qui a traversé quatre routeurs a modifié l’adresse IP de destination quatre fois.;Les adresses IP de destination d’un en-tête de paquet restent les mêmes tout au long du chemin vers un hôte cible.;Les adresses MAC source et de destination ont une signification locale et changent chaque fois qu’une trame passe d’un réseau local à un autre.;4;5;;;;;;;;;;;;
Quel avantage présente l’utilisation du cloud computing dans les réseaux ?;1;4;1;Les utilisateurs finaux sont libres d’utiliser leurs propres outils pour accéder aux informations de l’entreprise et communiquer au sein de leur réseau.;Les technologies sont intégrées à des appareils que l’on utilise tous les jours pour qu’ils puissent se connecter à d’autres terminaux, ce qui les rend plus intelligents ou automatisés.;L’entreprise améliore les capacités de son réseau sans investissement supplémentaire dans une infrastructure, du personnel ou des logiciels.;Un réseau domestique utilise le câblage électrique existant pour se connecter aux terminaux du réseau à partir d’une simple prise de courant, ce qui permet d’économiser sur les coûts d’installation de câbles de données.;3;;;;;;;;;;;;;;
Quelles sont les fonctions d’ARP ? (Choisissez deux réponses.);1;5;2;Lorsqu’un hôte encapsule un paquet dans une trame, il fait référence à la table des adresses MAC pour déterminer le mappage des adresses IP en adresses MAC.;Si le périphérique qui reçoit une requête ARP dispose d’une adresse IPv4 de destination, il renvoie une réponse ARP.;Si un hôte est prêt à envoyer un paquet à un périphérique de destination locale et qu’il dispose de l’adresse IP mais pas l’adresse MAC de la destination, il génère une diffusion ARP.;Si aucun périphérique ne répond à la requête ARP, le noeud d’origine diffuse le paquet de données à tous les périphériques du segment de réseau.;Une requête ARP est envoyée à tous les périphériques du réseau local Ethernet et contient l’adresse IP de l’hôte de destination et son adresse MAC de multidiffusion.;2;3;;;;;;;;;;;;
Quelles couches du modèle OSI équivalent à la couche application du modèle TCP/IP ? (Choisissez trois propositions.);1;6;3;réseau;application;transport;session;présentation;liaison des données;2;4;5;;;;;;;;;;
Quel scénario décrit une fonction fournie par la couche transport ?;1;4;1;Un employé d’une entreprise accède à un serveur Web situé sur un réseau d’entreprise. La couche transport formate l’écran afin que la page Web s’affiche correctement quel que soit le périphérique utilisé pour accéder au site Web.;Un étudiant regarde un petit film sur le Web avec le son activé. Le film et le son sont codés dans l’en-tête de la couche transport.;Un étudiant a deux fenêtres de navigateur Web ouvertes pour accéder à deux sites Web. La couche transport s’assure que la page Web appropriée est envoyée vers la fenêtre de navigateur appropriée.;Un étudiant utilise un téléphone VoIP d’une salle de classe pour appeler chez lui. L’identifiant unique stocké dans le téléphone est une adresse de couche transport utilisée pour contacter un autre périphérique réseau sur le même réseau.;3;;;;;;;;;;;;;;
Que signifie le terme «atténuation» dans la communication de données?;1;4;1;temps pour qu’un signal atteigne sa destination;fuite de signaux d’une paire de câbles à une autre;renforcement d’un signal par un dispositif de mise en réseau;perte de puissance du signal à mesure que la distance augmente;4;;;;;;;;;;;;;;
Que se passe-t-il si l’adresse de la passerelle par défaut n’est pas correctement configurée sur un hôte ?;1;5;1;Le commutateur ne transfère pas les paquets initiés par l’hôte.;L’hôte ne peut pas communiquer avec les autres hôtes du réseau local.;L’hôte doit utiliser le protocole ARP pour déterminer l’adresse de la passerelle par défaut.;Une requête ping exécutée par l’hôte vers 127.0.0.1 échoue.;L’hôte ne peut pas communiquer avec les hôtes situés sur d’autres réseaux.;5;;;;;;;;;;;;;
Les utilisateurs signalent que l’accès réseau est lent. Après avoir questionné les employés, l’administrateur réseau a découvert que l’un d’eux a téléchargé un programme de numérisation tiers pour l’imprimante. Quel type de malware peut ralentir les performances du réseau ?;1;4;1;phishing;ver;virus;courrier indésirable;2;;;;;;;;;;;;;;
Quelle est la conséquence de la configuration d’un routeur avec la commande de configuration globale ipv6 unicast-routing ?​;1;4;1;Les interfaces de routeur activées IPv6 commencent à envoyer des messages d’annonces de routeur ICMPv6.;Il crée statiquement une adresse monodiffusion globale sur ce routeur.​;Toutes les interfaces du routeur seront automatiquement activées.;Chaque interface de routeur génère une adresse link-local IPv6.;1;;;;;;;;;;;;;;
Un employé d’une grande entreprise se connecte à distance à l’entreprise en utilisant le nom d’utilisateur et le mot de passe appropriés. L’employé assiste à une vidéoconférence importante avec un client concernant une grande vente. Il est important que la qualité vidéo soit excellente pendant la réunion. L’employé ne sait pas qu’après une connexion efficace, la connexion au fournisseur d’accès Internet (FAI) de l’entreprise a échoué. La connexion secondaire, cependant, s’est activée en quelques secondes. La perturbation n’a pas été remarquée par l’employé ou les autres employés.;1;6;3;Intégrité;Qualité de service;Réseau sur courant électrique;tolérance aux pannes;évolutivité;Sécurité;2;4;6;;;;;;;;;;
Une société possède un serveur de fichiers qui partage un dossier appelé Public. La stratégie de sécurité du réseau stipule que toute personne qui se connecte au serveur se voit attribuer des droits en lecture seule au dossier Public, tandis que les droits de modification ne sont attribués qu’au groupe d’administrateurs réseau. Quel composant est repris dans la structure de services réseau AAA ?;1;4;1;autorisation;automatisation;authentification;traçabilité;1;;;;;;;;;;;;;;
Les protocoles utilisés dans la communication réseau pour transmettre des messages sur un réseau définissent trois conditions de transmission précises. Lesquelles ? (Choisissez trois propositions.);1;6;3;Le codage des messages;L’installation du périphérique terminal;Les caractéristiques des connecteurs;Les options de remise du message;La taille du message;La sélection des supports;1;4;5;;;;;;;;;;
Quelles sont les deux causes courantes de dégradation du signal lors de l’utilisation du câblage UTP? (Choisissez deux réponses.);1;5;2;résiliation abusive;blindage de mauvaise qualité dans le câble;installation de câbles dans le conduit;Câble ou connecteurs de mauvaise qualité;perte de lumière sur de longues distances;1;4;;;;;;;;;;;;
Quels sont les deux protocoles qui interviennent sur la couche supérieure de la pile de protocoles TCP/IP? (Choisissez deux réponses.);1;6;2;POP;DNS;TCP;Ethernet;UDP;IP;1;2;;;;;;;;;;;
Quelles sont deux caractéristiques du protocole IP ? (Choisissez deux propositions.);1;5;2;Fonctionne indépendamment des supports réseau.;Ne nécessite pas de connexion dédiée de bout en bout.;Reconstitue dans le bon ordre les segments désordonnés côté destination.;Retransmet les paquets en cas d’erreur.;Garantit la remise des paquets.;1;2;;;;;;;;;;;;
Quel sous-réseau comprend l’adresse 192.168.1.96 en tant qu’adresse d’hôte utilisable ?;1;4;1;192.168.1.64/26;192.168.1.64/29;192.168.1.32/27;192.168.1.32/28;1;;;;;;;;;;;;;;
Parmi les propositions suivantes, deux expliquent comment évaluer les modèles de flux de trafic et les types de trafic réseau à l’aide d’un analyseur de protocole. Lesquelles ? (Choisissez deux propositions.);1;5;2;Capturer uniquement le trafic WAN puisque le trafic web contribue le plus à la quantité de trafic sur un réseau;Capturer uniquement le trafic des zones du réseau qui reçoivent la plus grande quantité de trafic, comme le data center;Capturer le trafic pendant les périodes de pointe pour obtenir une représentation juste des différents types de trafic;Capturer le trafic les weekends lorsque les employés n’utilisent pas le réseau;Capturer le trafic sur plusieurs segments du réseau;3;5;;;;;;;;;;;;
Examinez l’illustration. D’après le résultat de la commande, quelles affirmations sur la connectivité réseau sont correctes ? (Choisissez deux propositions.);1;5;2;Il existe 4 sauts entre ce périphérique et le périphérique situé à l’adresse 192.168.100.1.;La durée moyenne de transmission entre les deux hôtes est de 2 millisecondes.;La connectivité entre ces deux hôtes permet les vidéoconférences.;Une connectivité est établie entre ce périphérique et le périphérique situé à l’adresse 192.168.100.1.;Aucune passerelle par défaut n’est configurée sur cet hôte.;1;4;;;;;;;;;;;;
Quel serait l’ID d’interface d’une interface compatible IPv6 avec une adresse MAC de 1C-6F-65-C2-BD-F8 lorsque l’ID d’interface est généré à l’aide du processus EUI-64 ?;1;4;1;1E6F:65FF:FEC2:BDF8;0C6F:65FF:FEC2:BDF8;C16F:65FF:FEC2:BDF8;106F:65FF:FEC2:BDF8;1;;;;;;;;;;;;;;
Un périphérique IPv6 envoie un paquet de données avec l’adresse de destination FF02::2. Quelle est la cible de ce paquet ?;1;4;1;Tous les périphériques IPv6 sur le réseau;Tous les périphériques IPv6 sur la liaison locale;Tous les serveurs DHCP IPv6;Tous les routeurs IPv6 configurés sur la liaison locale;4;;;;;;;;;;;;;;
Un client utilise la méthode SLAAC pour obtenir une adresse IPv6 pour son interface. Une fois qu’une adresse a été générée et appliquée à l’interface, que doit faire le client avant de pouvoir commencer à utiliser cette adresse IPv6 ?;1;4;1;Il doit envoyer un message de sollicitation de voisin ICMPv6 pour s’assurer que l’adresse n’est pas déjà utilisée sur le réseau.;Il doit envoyer un message DHCPv6 REQUEST au serveur DHCPv6 pour demander l’autorisation d’utiliser cette adresse.;Il doit envoyer un message de sollicitation de routeur ICMPv6 pour déterminer la passerelle par défaut à utiliser.;Il doit envoyer un message DHCPv6 INFORMATION-REQUEST pour obtenir l’adresse du serveur de noms de domaine (DNS).;1;;;;;;;;;;;;;;
Un employé mécontent utilise des outils de réseau sans fil gratuits pour déterminer des informations sur les réseaux sans fil de l’entreprise. Cette personne entend utiliser ces informations pour pirater le réseau sans fil. De quel type d’attaque s’agit-il?;1;4;1;accès;cheval de Troie;Reconnaissance;DoS;3;;;;;;;;;;;;;;
Quelles informations la commande show startup-config affiche-t-elle ?;1;4;1;Le programme bootstrap de la mémoire morte;L’image IOS copiée dans la mémoire vive;Le contenu du fichier de configuration en cours dans la mémoire vive;Le contenu du fichier de configuration enregistré dans la mémoire vive non volatile;4;;;;;;;;;;;;;;
Examinez l’illustration. Quelles deux adresses réseau peuvent être attribuées au réseau accueillant 10 hôtes ? Dans votre réponse, vous devez gaspiller le moins d’adresses possible, ne pas réutiliser des adresses déjà attribuées et rester dans la plage d’adresses 10.18.10.0/24. (Choisissez deux propositions.);1;6;2;10.18.10.224/28;10.18.10.224/27;10.18.10.208/28;10.18.10.200/28;10.18.10.240/27;10.18.10.200/27;1;3;;;;;;;;;;;
Un administrateur réseau souhaite avoir le même masque de sous-réseau pour trois sous-réseaux sur un petit site. Le site a les réseaux et numéros de périphérique suivants :Sous-réseau A : téléphones IP – 10 adresse Sous-réseau B : PC – 8 adresses Sous-réseau C: Imprimantes – 2 adresses Quel masque de sous-réseau faudrait-il utiliser pour ces trois sous-réseaux ?;1;4;1;255.255.255.248;255.255.255.252;255.255.255.240;255.255.255.0;3;;;;;;;;;;;;;;
Quelle technique utilise-t-on avec un câble à paires torsadées non blindées pour isoler les signaux des interférences issues d’une diaphonie ?;1;4;1;Envelopper les paires de fils d’un blindage métallique;Placer le câble à l’intérieur d’une gaine plastique souple;Enrouler les brins en hélice pour former des paires torsadées;Insérer des connecteurs reliés à la terre sur les extrémités du câble;3;;;;;;;;;;;;;;
Un administrateur réseau remarque qu’un câblage Ethernet nouvellement installé transporte des signaux de données déformés et altérés. Le nouveau câblage a été installé dans le plafond près des éclairages fluorescents et de l’équipement électrique. Quels facteurs peuvent interférer avec le câblage en cuivre et provoquer une distorsion des signaux et une corruption des données ? (Choisissez deux réponses.);1;5;2;EMI;Interférences;RFI;Longueur étendue du câblage;Atténuation du signal;1;3;;;;;;;;;;;;
Quel service est fourni par DNS ?;1;4;1;permet de transférer des données entre un client et un serveur.;Utilise le cryptage pour sécuriser l’échange de texte, d’images graphiques, de sons et de vidéos sur le Web.;Traduit des noms de domaines (par exemple, cisco.com) en adresses IP;Ensemble de règles permettant d’échanger du texte, des graphiques, des sons, des vidéos et autres fichiers multimédia sur le web.;3;;;;;;;;;;;;;;
Examinez l’illustration. Les commutateurs présentent leur configuration par défaut. L’hôte A doit communiquer avec l’hôte D, mais l’hôte A ne peut avoir l’adresse MAC pour sa passerelle par défaut. Quels hôtes de réseau recevront la requête ARP envoyée par l’hôte A ?;1;6;1;Uniquement les hôtes A, B et C;Uniquement les hôtes B et C;Uniquement les hôtes B, C et le routeur R1;Le routeur R1 uniquement;L’hôte D uniquement;Uniquement les hôtes A, B, C et D;3;;;;;;;;;;;;
Quelles sont les fonctions fournies par la couche réseau ? (Choisissez deux réponses.);1;5;2;Fournir des connexions de bout en bout dédiées;Diriger les paquets de données vers les hôtes de destination sur d’autres réseaux;Placer des données sur le support réseau;Fournir des périphériques finaux dotés d’un identificateur de réseau unique;Transport de données entre des processus s’exécutant sur les hôtes source et de destination;2;4;;;;;;;;;;;;
Quelles propositions sont correctes dans le cadre de la comparaison des en-têtes de paquet IPv4 et IPv6 ? (Choisissez deux réponses.);1;5;2;Le champ Durée de vie d’IPv4 a été remplacé par le champ Limite de nombre de sauts dans IPv6.;Le nom du champ Somme de contrôle d’en-tête d’IPv4 est conservé dans IPv6.;Le champ Version d’IPv4 n’est pas conservé dans IPv6.;Le champ Adresse de destination est une nouveauté d’IPv6.;Le nom du champ Adresse source d’IPv4 est conservé dans IPv6.;1;5;;;;;;;;;;;;
Quelle caractéristique décrit un virus?;1;8;2;logiciels installés sur un périphérique utilisateur qui collectent secrètement des informations sur l’utilisateur.;une attaque qui ralentit ou bloque un périphérique ou un service réseau;l’utilisation d’informations d’identification volées pour accéder à des données privées;un périphérique réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel sur un routeur qui filtre le trafic en fonction des adresses IP ou des applications;un protocole de tunnel qui fournit aux utilisateurs distants un accès sécurisé au réseau d’une organisation;un périphérique réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel qui identifie les menaces qui se propagent rapidement;1;8;;;;;;;;;
Trois employés de banque utilisent le réseau d’entreprise. Le premier employé utilise un navigateur Web pour afficher une page Web de la société afin de lire des annonces. Le deuxième employé accède à la base de données d’entreprise pour effectuer des transactions financières. Le troisième employé participe à une importante conférence audio en direct avec d’autres responsables de l’entreprise basés dans les filiales. Si la qualité de service est implémentée sur ce réseau, quelles seront les priorités, des plus importantes au moins importantes, des différents types de données ?;1;4;1;conférence audio, transactions financières, page Web;transactions financières, page Web, conférence audio;conférence audio, page Web, transactions financières;transactions financières, conférence audio, page Web;1;;;;;;;;;;;;;;
Un administrateur réseau ajoute un nouveau réseau local à une filiale. Le nouveau réseau local doit prendre en charge 200 périphériques connectés. Quel est le plus petit masque réseau que l’administrateur réseau peut utiliser pour le nouveau réseau?;1;4;1;255.255.255.192;255.255.255.0;255.255.255.224;255.255.255.240;2;;;;;;;;;;;;;;
Qu’est-ce qu’une fonction de la couche de liaison de données?;1;4;1;fournit des données entre deux applications;fournit une livraison de bout en bout de données entre les hôtes;prévoit l’échange de trames sur un média local commun;fournit la mise en forme des données;3;;;;;;;;;;;;;;
Un hôte tente d’envoyer un paquet à un périphérique sur un segment du réseau local distant, mais il n’y a actuellement aucun mappage dans son cache ARP. Comment le périphérique obtient-il une adresse MAC de destination ?;1;5;1;Il envoie la trame avec une adresse MAC de diffusion.;Il envoie une requête au serveur DNS pour l’adresse MAC de destination.;Il envoie une requête ARP pour l’adresse MAC de la passerelle par défaut.;Il envoie la trame et utilise sa propre adresse MAC comme destination.;Il envoie une requête ARP pour l’adresse MAC du périphérique de destination.;3;;;;;;;;;;;;;
Quelle méthode de commutation supprime les trames qui ne passent pas avec succès le contrôle FCS ?;1;4;1;commutation « cut-through »;commutation sans frontières;mise en mémoire tampon des ports d’entrée;commutation par « stockage et retransmission »;4;;;;;;;;;;;;;;
Quel est l’avantage pour les petites entreprises d’adopter IMAP au lieu de POP ?;1;4;1;IMAP envoie et récupère les e-mails, tandis que POP récupère uniquement les e-mails.;Les messages sont stockés sur les serveurs de messagerie jusqu’à ce qu’ils soient manuellement supprimés sur le client de messagerie.;Lorsque l’utilisateur se connecte à un serveur POP, des copies des messages sont conservées dans le serveur de messagerie pendant une courte période, mais IMAP les conserve pendant une longue période.;POP permet uniquement au client de stocker les messages de façon centralisée, tandis qu’IMAP permet un stockage distribué.;2;;;;;;;;;;;;;;
Un utilisateur se plaint qu’une page Web externe prend plus de temps que la normale pour se charger. La page Web finit par se charger sur la machine utilisateur. Quel outil le technicien doit-il utiliser avec les privilèges d’administrateur pour localiser le problème dans le réseau?;1;4;1;nslookup;ping;tracert;ipconfig /displaydns;3;;;;;;;;;;;;;;
Quelle plage d’adresses link-local peut être attribuée à une interface IPv6 ?;1;4;1;FEC0::/10​;FF00::/8​;FE80::/10;FDEE::/7​;3;;;;;;;;;;;;;;
Un serveur reçoit un paquet client. Le numéro de port de destination du paquet est 22. Quelle application de service le client demande-t-il?;1;4;1;TFTP;SSH;DHCP;DNS;2;;;;;;;;;;;;;;
